author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Anthony Lukach,developmentseed/obstore,2,1768256451,1768330911,0,False,sponsored
Kyle Barron,developmentseed/obstore,302,1729194394,1769184594,0,False,sponsored
Wille Marcel,developmentseed/obstore,1,1730470183,1730470183,0,False,sponsored
Vincent Sarago,developmentseed/obstore,1,1738082190,1738082190,0,False,sponsored
Chuck Daniels,developmentseed/obstore,3,1747500858,1755878660,96,False,sponsored
Wei Ji,developmentseed/obstore,1,1740156308,1740156308,0,False,sponsored
Ciaran Sweet,developmentseed/tipg,1,1759493236,1759493236,0,False,sponsored
David Bitner,developmentseed/tipg,94,1651079287,1702393462,593,False,sponsored
Henry Rodman,developmentseed/tipg,4,1700621160,1704974391,50,False,sponsored
xıʃǝɟ,developmentseed/tipg,1,1762778608,1762778608,0,False,sponsored
Zac Deziel,developmentseed/tipg,2,1694197989,1694198593,0,False,sponsored
Vincent Sarago,developmentseed/tipg,568,1651066571,1765275424,0,False,sponsored
Emmanuel Mathot,developmentseed/titiler,7,1610679501,1678367960,783,False,sponsored
Jeff Albrecht,developmentseed/titiler,4,1595980986,1608449143,0,False,sponsored
Ciaran Sweet,developmentseed/titiler,1,1731576828,1731576828,0,False,sponsored
Pete Gadomski,developmentseed/titiler,1,1709715032,1709715032,0,False,sponsored
David Bitner,developmentseed/titiler,1,1594682332,1594682332,0,False,sponsored
Max Jones,developmentseed/titiler,5,1730214364,1761817321,0,False,sponsored
Henry Rodman,developmentseed/titiler,10,1727097138,1761238622,0,False,sponsored
Aimee Barciauskas,developmentseed/titiler,10,1618696757,1763539400,0,False,sponsored
Sean Harkins,developmentseed/titiler,1,1646333885,1646333885,0,False,sponsored
Kyle Barron,developmentseed/titiler,20,1598965080,1713476135,1325,False,sponsored
Kiri,developmentseed/titiler,2,1732290788,1732291109,0,False,sponsored
Jonas,developmentseed/titiler,1,1744103621,1744103621,0,False,sponsored
Wille Marcel,developmentseed/titiler,2,1640100830,1754493008,1323,False,sponsored
Vincent Sarago,developmentseed/titiler,698,1575568964,1769275530,0,False,sponsored
Emmanuel Mathot,developmentseed/eoapi-k8s,26,1744211651,1765365371,0,False,sponsored
Ciaran Sweet,developmentseed/eoapi-k8s,12,1727267183,1759747660,0,False,sponsored
Isayah Vidito,developmentseed/eoapi-k8s,14,1718821284,1743535953,286,False,sponsored
Sanjay Bhangar,developmentseed/eoapi-k8s,1,1745921051,1745921051,0,False,sponsored
Tarashish Mishra,developmentseed/eoapi-k8s,8,1690216150,1763074531,0,False,sponsored
Jonas,developmentseed/eoapi-k8s,7,1728314655,1736527513,95,False,sponsored
xıʃǝɟ,developmentseed/eoapi-k8s,89,1730387754,1768913219,0,False,sponsored
Vincent Sarago,developmentseed/eoapi-k8s,3,1705582688,1728309029,263,False,sponsored
Martha Morrissey,developmentseed/pixelverse,38,1760647546,1764099521,0,False,sponsored
Wei Ji,developmentseed/pixelverse,5,1768166650,1769650456,0,False,sponsored
Pete Gadomski,developmentseed/eo-predictor,3,1756285618,1769704890,0,False,sponsored
Gjore Milevski,developmentseed/eo-predictor,1,1768989042,1768989042,0,False,sponsored
Will Rynearson,developmentseed/eo-predictor,44,1753360194,1769700683,0,False,sponsored
Pete Gadomski,developmentseed/cql2-rs,96,1721837058,1768591620,0,False,sponsored
David Bitner,developmentseed/cql2-rs,55,1721053190,1758051270,428,False,sponsored
Anthony Lukach,developmentseed/cql2-rs,10,1740075456,1763135494,0,False,sponsored
Kyle Barron,developmentseed/cql2-rs,4,1721753493,1721755471,0,False,sponsored
Zac Deziel,developmentseed/cql2-rs,1,1741802915,1741802915,0,False,sponsored
Indraneel Purohit,developmentseed/stac-map,2,1751365865,1755192240,0,False,sponsored
Pete Gadomski,developmentseed/stac-map,233,1750270234,1769721891,0,False,sponsored
Sandra Hoang,developmentseed/stac-map,3,1761841788,1768237122,0,False,sponsored
Tarashish Mishra,developmentseed/stac-map,1,1751284878,1751284878,0,False,sponsored
Will Rynearson,developmentseed/stac-map,1,1751283312,1751283312,0,False,sponsored
Emmanuel Mathot,beatrizbsperes/eopf-101,7,1747939515,1752478873,0,False,sponsored
Beatriz Peres,beatrizbsperes/eopf-101,5,1767866955,1769521059,0,False,sponsored
Ciaran Sweet,beatrizbsperes/eopf-101,25,1748965625,1767693216,0,False,sponsored
xıʃǝɟ,beatrizbsperes/eopf-101,16,1747127956,1764711542,0,False,sponsored
Emmanuel Mathot,pydata/xarray,1,1757486049,1757486049,0,False,sponsored
Chris Holden,pydata/xarray,1,1508878389,1508878389,0,False,sponsored
Davis Bennett,pydata/xarray,2,1734538780,1748573517,0,False,sponsored
Max Jones,pydata/xarray,3,1701152983,1761608544,0,False,sponsored
Julia Signell,pydata/xarray,19,1470952465,1757957411,0,False,sponsored
Jonas,pydata/xarray,2,1482167517,1517536906,409,False,sponsored
Benoit Bovy,pydata/xarray,58,1496426111,1752002419,2958,False,sponsored
Chuck Daniels,pydata/xarray,1,1739927499,1739927499,0,False,sponsored
Wei Ji,pydata/xarray,2,1600753230,1669911502,800,False,sponsored
Max Jones,NASA-IMPACT/veda-odd,15,1737481888,1768238797,0,False,sponsored
Aimee Barciauskas,NASA-IMPACT/veda-odd,15,1737487348,1765989475,0,False,sponsored
Vitor George,NASA-IMPACT/veda-ui,270,1730809900,1768929868,0,False,sponsored
Henry Rodman,NASA-IMPACT/veda-ui,1,1742865617,1742865617,0,False,sponsored
Sandra Hoang,NASA-IMPACT/veda-ui,399,1697655169,1758733115,0,False,sponsored
Leo Thomas,NASA-IMPACT/veda-ui,2,1638830137,1638830386,0,False,sponsored
Aimee Barciauskas,NASA-IMPACT/veda-ui,83,1656297223,1761091836,0,False,sponsored
Gjore Milevski,NASA-IMPACT/veda-ui,414,1714993969,1769710009,0,False,sponsored
Daniel da Silva,NASA-IMPACT/veda-ui,1015,1639049693,1702382149,0,False,sponsored
Jonas Sølvsteen,NASA-IMPACT/veda-ui,51,1693426260,1730364019,0,False,sponsored
Ricardo Duplos,NASA-IMPACT/veda-ui,253,1642679077,1692724120,0,False,sponsored
Hanbyul Jo,NASA-IMPACT/veda-ui,1105,1643213876,1758573133,0,False,sponsored
Alice Rühl,NASA-IMPACT/veda-ui,212,1729501975,1763737676,0,False,sponsored
Anthony Boyd,NASA-IMPACT/veda-ui,9,1715358533,1743009763,0,False,sponsored
Isayah Vidito,NASA-IMPACT/veda-keycloak,2,1747936256,1764621466,0,False,sponsored
Jennifer Tran,NASA-IMPACT/veda-keycloak,14,1760720025,1768883124,0,False,sponsored
Anthony Lukach,NASA-IMPACT/veda-keycloak,118,1728421652,1760637576,0,False,sponsored
Sandra Hoang,NASA-IMPACT/veda-keycloak,3,1765395563,1765831090,0,False,sponsored
Saadiq Mohiuddin,NASA-IMPACT/veda-keycloak,30,1741202170,1769546653,0,False,sponsored
Alex I. Mandel,NASA-IMPACT/veda-keycloak,1,1743788679,1743788679,0,False,sponsored
Alexandra Kirk,NASA-IMPACT/veda-keycloak,2,1756923590,1766003840,0,False,sponsored
Vitor George,NASA-IMPACT/veda-config,5,1730724276,1764758210,0,False,sponsored
Isayah Vidito,NASA-IMPACT/veda-config,19,1667392171,1681918699,0,False,sponsored
Jennifer Tran,NASA-IMPACT/veda-config,2,1739914590,1739917036,0,False,sponsored
Max Jones,NASA-IMPACT/veda-config,3,1723065443,1723415474,0,False,sponsored
Henry Rodman,NASA-IMPACT/veda-config,2,1744768159,1752860728,0,False,sponsored
Sandra Hoang,NASA-IMPACT/veda-config,22,1701102139,1736363031,0,False,sponsored
Leo Thomas,NASA-IMPACT/veda-config,2,1638830301,1649866256,0,False,sponsored
Aimee Barciauskas,NASA-IMPACT/veda-config,61,1649888092,1748536172,0,False,sponsored
Saadiq Mohiuddin,NASA-IMPACT/veda-config,9,1670610703,1687372486,0,False,sponsored
Gjore Milevski,NASA-IMPACT/veda-config,122,1714731653,1769502703,0,False,sponsored
Daniel da Silva,NASA-IMPACT/veda-config,265,1639050973,1718998282,0,False,sponsored
Kiri Carini,NASA-IMPACT/veda-config,22,1667585681,1674667475,0,False,sponsored
Jonas Sølvsteen,NASA-IMPACT/veda-config,27,1668779435,1730884909,0,False,sponsored
Ricardo Duplos,NASA-IMPACT/veda-config,1,1677761269,1677761269,0,False,sponsored
Hanbyul Jo,NASA-IMPACT/veda-config,231,1649869041,1753103215,0,False,sponsored
Alexandra Kirk,NASA-IMPACT/veda-config,18,1655481260,1731518516,0,False,sponsored
Alice Rühl,NASA-IMPACT/veda-config,6,1731405354,1737656711,0,False,sponsored
Anthony Boyd,NASA-IMPACT/veda-config,41,1654539082,1738616277,0,False,sponsored
Ciaran Sweet,NASA-IMPACT/veda-deploy,10,1723047258,1725986722,0,False,sponsored
Isayah Vidito,NASA-IMPACT/veda-deploy,20,1715707452,1756337243,0,False,sponsored
Jennifer Tran,NASA-IMPACT/veda-deploy,8,1717441419,1742578915,0,False,sponsored
Henry Rodman,NASA-IMPACT/veda-deploy,1,1740761289,1740761289,0,False,sponsored
