repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
stac-utils/pgstac,199,50,2021-03-09T16:34:19Z,2026-02-10T17:34:02Z,231,https://github.com/stac-utils/pgstac,"Schema, functions and a python library for storing and accessing STAC collections and items in PostgreSQL","PLpgSQL,Python,Shell,Dockerfile",14,74,MIT,"postgis,stac,sql",True,True,main,False,22,9,13,0.591
stac-utils/stac-fastapi-pgstac,92,49,2022-07-28T01:48:07Z,2026-02-17T15:34:20Z,401,https://github.com/stac-utils/stac-fastapi-pgstac,PostgreSQL backend for stac-fastapi using pgstac (https://github.com/stac-utils/pgstac),"Python,Shell,Makefile,Dockerfile",9,36,MIT,,True,False,main,False,43,8,35,0.814
stac-utils/stac-fastapi,306,116,2020-06-17T03:31:20Z,2026-02-12T19:35:34Z,513,https://github.com/stac-utils/stac-fastapi,STAC API implementation with FastAPI. ,"Python,Shell,Dockerfile,Makefile",14,40,MIT,,True,False,main,False,52,6,46,0.885
stac-utils/pystac-client,195,59,2021-03-03T03:33:04Z,2026-02-13T12:35:12Z,1047,https://github.com/stac-utils/pystac-client,Python client for searching STAC APIs,"Python,Shell",7,24,NOASSERTION,"stac,geospatial,python",False,False,main,False,38,4,34,0.895
stac-utils/rustac,130,20,2021-03-29T17:08:13Z,2026-02-17T11:09:48Z,1091,https://github.com/stac-utils/rustac,The power of Rust for the STAC ecosystem,"Rust,Shell,Python,JavaScript,HTML",3,26,Apache-2.0,"geospatial,raster,stac,command-line,earth-observation,metadata,rust,python,server",True,False,main,False,12,4,8,0.667
stac-utils/pystac,434,129,2017-11-08T13:30:15Z,2026-02-12T13:52:56Z,2180,https://github.com/stac-utils/pystac,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell",23,69,NOASSERTION,,False,False,main,False,69,7,62,0.899
hotosm/tasking-manager,573,286,2017-02-02T14:31:35Z,2026-02-18T05:11:25Z,6494,https://github.com/hotosm/tasking-manager,Tasking Manager - The tool to team up for mapping in OpenStreetMap,"Python,JavaScript,HCL,Jupyter Notebook,HTML,SCSS,Shell,Dockerfile,PLpgSQL,Makefile,CSS,Mako,PowerShell",32,451,BSD-2-Clause,"openstreetmap,python,javascript,reactjs,postgresql,postgis,fastapi",True,False,develop,False,115,3,112,0.974
hotosm/openaerialmap,295,37,2014-06-26T13:58:44Z,2026-02-18T10:59:44Z,214,https://github.com/hotosm/openaerialmap,OpenAerialMap is an open service to provide access to a commons of openly licensed imagery and map layer services.,"Jupyter Notebook,Python,TypeScript,JavaScript,Just,Shell,Dockerfile,Go Template,HTML",42,35,AGPL-3.0,,True,True,main,False,20,5,15,0.75
sentinel-hub/titiler-openeo,27,2,2024-10-30T12:33:56Z,2026-02-13T15:14:10Z,382,https://github.com/sentinel-hub/titiler-openeo,openEO by TiTiler,"Python,Dockerfile,Mustache",6,13,MIT,"openeo,rasterio,stac,titiler",True,False,main,False,9,4,5,0.556
GenericMappingTools/pygmt,840,237,2017-03-17T20:31:51Z,2026-02-15T01:37:51Z,3213,https://github.com/GenericMappingTools/pygmt,A Python interface for the Generic Mapping Tools.,"Python,Makefile",26,191,BSD-3-Clause,"python,geoscience,earth-science,geophysics,maps,seismology,hacktoberfest",False,False,main,False,51,2,49,0.961
zarr-developers/zarr-python,1916,383,2015-12-15T14:49:40Z,2026-02-18T08:23:04Z,2767,https://github.com/zarr-developers/zarr-python,"An implementation of chunked, compressed, N-dimensional arrays for Python.",Python,40,550,MIT,"zarr,ndimensional-arrays,compressed,python",True,False,main,False,152,2,150,0.987
zarr-developers/VirtualiZarr,262,55,2024-03-08T19:24:24Z,2026-02-11T12:18:54Z,518,https://github.com/zarr-developers/VirtualiZarr,"Cloud-Optimize your Scientific Data as Virtual Zarr stores, using xarray syntax.",Python,14,160,Apache-2.0,,True,False,main,False,33,4,29,0.879
NASA-IMPACT/veda-backend,22,7,2021-12-06T22:40:27Z,2026-02-11T18:35:50Z,1240,https://github.com/NASA-IMPACT/veda-backend,Backend services for VEDA,"Python,HTML,Shell,Dockerfile",22,70,NOASSERTION,,False,True,develop,False,20,12,8,0.4
NASA-IMPACT/veda-ui,39,14,2021-12-06T22:35:36Z,2026-02-16T15:15:01Z,4547,https://github.com/NASA-IMPACT/veda-ui,Frontend for the Dashboard Evolution project,"TypeScript,JavaScript,MDX,SCSS,Shell,HTML,CSS",21,127,NOASSERTION,,False,True,main,False,29,12,17,0.586
NASA-IMPACT/veda-data-airflow,13,5,2023-02-01T18:26:15Z,2026-01-14T21:40:00Z,1238,https://github.com/NASA-IMPACT/veda-data-airflow,Airflow implementation of ingest pipeline for VEDA STAC data,"Python,HCL,Dockerfile,Shell,Makefile",20,54,NOASSERTION,,False,True,dev,False,21,8,13,0.619
NASA-IMPACT/veda-deploy,0,1,2023-06-15T17:44:43Z,2025-12-12T16:26:57Z,553,https://github.com/NASA-IMPACT/veda-deploy,"This is a virtual repo that's created to deploy all the VEDA services (veda-backend, veda-auth, veda-stac-ingestor, veda-data-airflow) at once. It makes use of sub modules, composite actions within the other repos and github workflows for the deployment. It also takes care of the dependency between the deployments and runs them in proper order.",Python,17,20,,,False,True,dev,False,13,7,6,0.462
NASA-IMPACT/veda-config,35,47,2021-12-06T22:38:21Z,2026-01-27T08:31:48Z,3024,https://github.com/NASA-IMPACT/veda-config,Configuration template for the Dashboard Evolution Project,"MDX,TypeScript,JavaScript,SCSS,HTML,Shell",21,42,NOASSERTION,,False,True,develop,False,48,18,30,0.625
