repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_core_contributors,repo_external_contributors,repo_community_ratio
geoarrow/deck.gl-layers,152,11,2023-08-07T19:34:30Z,2026-04-02T18:38:51Z,109,https://github.com/geoarrow/deck.gl-layers,deck.gl layers for rendering GeoArrow data,"TypeScript,JavaScript,Python",10,31,MIT,"apache-arrow,deck-gl,geoarrow,data-visualization,geospatial,map-visualization",False,True,main,False,7,2,5,0.714
geoarrow/geoarrow,533,27,2020-04-06T21:00:33Z,2026-08-21T10:00:12Z,43,https://github.com/geoarrow/geoarrow,Specification for storing geospatial data in Apache Arrow,url,49,15,BSD-3-Clause,"apache-arrow,geoarrow,geospatial",True,True,main,False,11,1,10,0.909
geoarrow/deck.gl-geoarrow,165,15,2023-08-07T19:34:30Z,2026-07-27T12:17:10Z,134,https://github.com/geoarrow/deck.gl-geoarrow,deck.gl layers for rendering GeoArrow data,"TypeScript,Python,url",9,37,MIT,"apache-arrow,deck-gl,geoarrow,data-visualization,geospatial,map-visualization",False,True,main,False,8,2,6,0.75
pydata/xarray,4191,1334,2013-09-30T17:21:10Z,2026-08-30T21:04:26Z,6506,https://github.com/pydata/xarray,N-D labeled arrays and datasets in Python,"Python,CSS,HTML,Dockerfile,url",96,1426,Apache-2.0,"python,netcdf,numpy,pandas,xarray,dask",True,False,main,False,417,8,409,0.981
EOPF-Explorer/landing-page,0,0,2025-07-10T15:44:50Z,2026-08-21T17:10:45Z,128,https://github.com/EOPF-Explorer/landing-page,,"JavaScript,Vue,CSS,url",2,20,,,True,True,main,False,9,3,6,0.667
EOPF-Explorer/data-model,24,4,2025-07-23T20:25:29Z,2026-08-11T11:04:31Z,294,https://github.com/EOPF-Explorer/data-model,EOPF Sentinel Zarr Explorer Data Model,"Python,url",2,53,NOASSERTION,"esa,geospatial,geozarr,sentinel,zarr",False,True,main,False,7,4,3,0.429
EOPF-Explorer/narratives,1,2,2025-09-23T08:20:26Z,2026-07-28T12:03:49Z,64,https://github.com/EOPF-Explorer/narratives,,url,0,4,CC0-1.0,,False,True,main,False,7,3,4,0.571
EOPF-Explorer/titiler-eopf,18,4,2025-07-29T14:57:54Z,2026-08-24T08:17:20Z,265,https://github.com/EOPF-Explorer/titiler-eopf,TiTiler application for EOPF dataset,"Jupyter Notebook,Python,HTML,Go Template,Dockerfile,url",0,23,Apache-2.0,,True,False,main,False,7,4,3,0.429
EOPF-Explorer/data-pipeline,1,1,2025-10-08T01:58:28Z,2026-07-22T20:18:48Z,234,https://github.com/EOPF-Explorer/data-pipeline,,"Jupyter Notebook,Python,Makefile,Dockerfile,url",1,33,Apache-2.0,,False,True,main,False,7,3,4,0.571
wri/gnw-evals,2,1,2026-01-08T15:39:35Z,2026-07-31T08:16:23Z,191,https://github.com/wri/gnw-evals,Evaluation framework for Global Nature Watch,"Python,url",2,2,MIT,,False,True,main,False,5,1,4,0.8
