author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Wille Marcel,developmentseed/titiler,2,1640100830,1754493008,1323,False,community
David Brochart,developmentseed/titiler,1,1750353605,1750353605,0,False,community
Vincent Sarago,developmentseed/titiler,715,1575568964,1770973276,2261,True,core
Oleksii Vykaliuk,developmentseed/titiler,1,1734686959,1734686959,0,False,community
jon,developmentseed/titiler,1,1682631018,1682631018,0,False,community
Andrea Giardini,developmentseed/titiler,1,1620819701,1620819701,0,False,community
Scott Henderson,developmentseed/titiler,1,1734630327,1734630327,0,False,community
Sam Murphy,developmentseed/titiler,1,1678986480,1678986480,0,False,community
Dan Hirst,developmentseed/titiler,4,1679953272,1684419315,51,False,community
holgerbach,developmentseed/titiler,1,1687503954,1687503954,0,False,community
Frederico Liporace,developmentseed/titiler,4,1600915646,1612400136,132,False,community
Ciaran Sweet,NASA-IMPACT/veda-backend,5,1722521511,1723132154,7,False,core
Prakash Chaudhary,NASA-IMPACT/veda-backend,3,1668634223,1669228927,6,False,community
Isayah Vidito,NASA-IMPACT/veda-backend,74,1667324462,1767891745,1163,True,core
Jennifer Tran,NASA-IMPACT/veda-backend,166,1705627385,1770834945,754,True,core
Jamison French,NASA-IMPACT/veda-backend,1,1692912400,1692912400,0,False,community
Anish Bhusal,NASA-IMPACT/veda-backend,1,1716927610,1716927610,0,False,community
Pete Gadomski,NASA-IMPACT/veda-backend,1,1696947223,1696947223,0,False,core
Anthony Lukach,NASA-IMPACT/veda-backend,75,1654214919,1761073955,1236,False,core
Julia Signell,NASA-IMPACT/veda-backend,1,1681994549,1681994549,0,False,community
sandrahoang686,NASA-IMPACT/veda-backend,7,1722268308,1723651369,16,False,core
Leo Thomas,NASA-IMPACT/veda-backend,45,1638830428,1647845092,104,False,core
Aimee Barciauskas,NASA-IMPACT/veda-backend,20,1654636843,1744765182,1043,False,core
Saadiq Mohiuddin,NASA-IMPACT/veda-backend,126,1673752390,1760124872,999,False,core
sudobangbang,NASA-IMPACT/veda-backend,3,1689112474,1692816842,42,False,core
Nathan Zimmerman,NASA-IMPACT/veda-backend,33,1667233417,1708639851,479,False,core
Stephen Kilbourn,NASA-IMPACT/veda-backend,18,1709938852,1757963623,555,False,core
Alex Bush,NASA-IMPACT/veda-backend,8,1654692266,1655297394,7,False,core
Slesa Adhikari,NASA-IMPACT/veda-backend,82,1704752892,1722958865,210,False,core
Vincent Sarago,NASA-IMPACT/veda-backend,21,1678443191,1736182862,668,False,core
Alexandra Kirk,NASA-IMPACT/veda-backend,505,1640125392,1758649397,1371,False,core
