author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor
Jennifer Tran,NASA-IMPACT/veda-config,2,1739914590,1739917036,0,False
Sandra Hoang,NASA-IMPACT/veda-config,22,1701102139,1736363031,408,False
Alexandra Kirk,NASA-IMPACT/veda-config,18,1655481260,1731518516,880,False
Max Jones,NASA-IMPACT/veda-config,3,1723065443,1723415474,4,False
Alice Rühl,NASA-IMPACT/veda-config,6,1731405354,1737656711,72,False
Saadiq Mohiuddin,NASA-IMPACT/veda-config,9,1670610703,1687372486,194,False
Vitor George,NASA-IMPACT/veda-config,5,1730724276,1764758210,393,True
Daniel da Silva,NASA-IMPACT/veda-config,265,1639050973,1718998282,925,False
Hanbyul Jo,NASA-IMPACT/veda-config,231,1649869041,1753103215,1194,False
Kiri Carini,NASA-IMPACT/veda-config,22,1667585681,1674667475,81,False
Anthony Boyd,NASA-IMPACT/veda-config,41,1654539082,1738616277,973,False
Henry Rodman,NASA-IMPACT/veda-config,2,1744768159,1752860728,93,False
Gjore Milevski,NASA-IMPACT/veda-config,122,1714731653,1769502703,633,True
Ricardo Duplos,NASA-IMPACT/veda-config,1,1677761269,1677761269,0,False
Leo Thomas,NASA-IMPACT/veda-config,2,1638830301,1649866256,127,False
Jonas Sølvsteen,NASA-IMPACT/veda-config,27,1668779435,1730884909,718,False
Isayah Vidito,NASA-IMPACT/veda-config,19,1667392171,1681918699,168,False
Aimee Barciauskas,NASA-IMPACT/veda-config,61,1649888092,1748536172,1141,False
Jennifer Tran,NASA-IMPACT/veda-backend,166,1705627385,1770834945,754,True
Sandra Hoang,NASA-IMPACT/veda-backend,7,1722268308,1723651369,16,False
Alexandra Kirk,NASA-IMPACT/veda-backend,505,1640125392,1758649397,1371,False
Saadiq Mohiuddin,NASA-IMPACT/veda-backend,126,1673752390,1760124872,999,False
Leo Thomas,NASA-IMPACT/veda-backend,45,1638830428,1647845092,104,False
Anthony Lukach,NASA-IMPACT/veda-backend,75,1654214919,1761073955,1236,False
Jamison French,NASA-IMPACT/veda-backend,1,1692912400,1692912400,0,False
Isayah Vidito,NASA-IMPACT/veda-backend,74,1667324462,1767891745,1163,True
Pete Gadomski,NASA-IMPACT/veda-backend,1,1696947223,1696947223,0,False
Vincent Sarago,NASA-IMPACT/veda-backend,21,1678443191,1736182862,668,False
Ciaran Sweet,NASA-IMPACT/veda-backend,5,1722521511,1723132154,7,False
Aimee Barciauskas,NASA-IMPACT/veda-backend,20,1654636843,1744765182,1043,False
Chris Holden,NASA-IMPACT/csda-client,2,1735940802,1767977889,370,True
Emma Paz,NASA-IMPACT/csda-client,1,1755729576,1755729576,0,False
Anthony Lukach,NASA-IMPACT/csda-client,28,1595868006,1646770752,589,False
Pete Gadomski,NASA-IMPACT/csda-client,17,1748012046,1770215906,256,True
Max Jones,NASA-IMPACT/veda-odd,21,1737481888,1771264470,391,True
Aimee Barciauskas,NASA-IMPACT/veda-odd,15,1737487348,1765989475,329,True
Jennifer Tran,NASA-IMPACT/veda-deploy,8,1717441419,1742578915,290,False
Alexandra Kirk,NASA-IMPACT/veda-deploy,54,1702494856,1754673670,603,False
Saadiq Mohiuddin,NASA-IMPACT/veda-deploy,43,1700178391,1765556812,756,True
Henry Rodman,NASA-IMPACT/veda-deploy,1,1740761289,1740761289,0,False
Isayah Vidito,NASA-IMPACT/veda-deploy,20,1715707452,1756337243,470,False
Ciaran Sweet,NASA-IMPACT/veda-deploy,10,1723047258,1725986722,34,False
Aimee Barciauskas,NASA-IMPACT/veda-deploy,6,1747793094,1748104064,3,False
Jennifer Tran,NASA-IMPACT/veda-keycloak,14,1760720025,1768883124,94,True
Sandra Hoang,NASA-IMPACT/veda-keycloak,3,1765395563,1765831090,5,True
Alexandra Kirk,NASA-IMPACT/veda-keycloak,3,1756923590,1771367111,167,True
Saadiq Mohiuddin,NASA-IMPACT/veda-keycloak,31,1741202170,1771274615,348,True
Ali Z,NASA-IMPACT/veda-keycloak,1,1770233947,1770233947,0,True
Alex I. Mandel,NASA-IMPACT/veda-keycloak,1,1743788679,1743788679,0,False
Anthony Lukach,NASA-IMPACT/veda-keycloak,118,1728421652,1760637576,372,False
Isayah Vidito,NASA-IMPACT/veda-keycloak,2,1747936256,1764621466,193,True
Sandra Hoang,NASA-IMPACT/veda-ui,399,1697655169,1758733115,706,False
Alice Rühl,NASA-IMPACT/veda-ui,212,1729501975,1763737676,396,True
Vitor George,NASA-IMPACT/veda-ui,270,1730809900,1768929868,441,True
Daniel da Silva,NASA-IMPACT/veda-ui,1015,1639049693,1702382149,733,False
Hanbyul Jo,NASA-IMPACT/veda-ui,1107,1643213876,1758573133,1335,False
Anthony Boyd,NASA-IMPACT/veda-ui,9,1715358533,1743009763,320,False
Henry Rodman,NASA-IMPACT/veda-ui,1,1742865617,1742865617,0,False
Gjore Milevski,NASA-IMPACT/veda-ui,417,1714993969,1770980065,647,True
Ricardo Duplos,NASA-IMPACT/veda-ui,253,1642679077,1692724120,579,False
Leo Thomas,NASA-IMPACT/veda-ui,2,1638830137,1638830386,0,False
Jonas Sølvsteen,NASA-IMPACT/veda-ui,51,1693426260,1730364019,427,False
Aimee Barciauskas,NASA-IMPACT/veda-ui,83,1656297223,1761091836,1212,False
Max Jones,zarr-developers/zarr-python,30,1707319296,1767895626,701,True
Davis Bennett,zarr-developers/zarr-python,116,1606170143,1759263762,0,False
Julia Signell,zarr-developers/zarr-python,1,1751903076,1751903076,0,False
Kyle Barron,zarr-developers/zarr-python,2,1742833832,1745236023,27,False
Max Jones,zarr-developers/VirtualiZarr,98,1718044084,1769295513,593,True
Julia Signell,zarr-developers/VirtualiZarr,8,1715356253,1739305075,0,False
Sean Harkins,zarr-developers/VirtualiZarr,10,1731977996,1756912873,288,False
Chuck Daniels,zarr-developers/VirtualiZarr,13,1737669610,1744231225,75,False
Aimee Barciauskas,zarr-developers/VirtualiZarr,10,1711745143,1741381979,343,False
Max Jones,GenericMappingTools/pygmt,111,1642159110,1769659223,1475,True
Wei Ji,GenericMappingTools/pygmt,286,1547649272,1770164276,2575,True
xıʃǝɟ,sentinel-hub/titiler-openeo,12,1738846309,1769705261,357,True
Zac Deziel,sentinel-hub/titiler-openeo,9,1764028126,1770475153,74,True
Emmanuel Mathot,sentinel-hub/titiler-openeo,247,1730291637,1770155649,461,True
Vincent Sarago,sentinel-hub/titiler-openeo,97,1733137677,1770995646,438,True
Wille Marcel,hotosm/tasking-manager,761,1538400461,1669990064,1523,False
Sajjad Anwar,hotosm/tasking-manager,4,1543568698,1601327149,668,False
xıʃǝɟ,hotosm/tasking-manager,159,1553592853,1589884189,420,False
Chris Holden,hotosm/openaerialmap,10,1751406033,1751575667,1,False
Indraneel Purohit,hotosm/openaerialmap,34,1747352603,1751478338,47,False
Emma Paz,hotosm/openaerialmap,3,1747751751,1747778442,0,False
Ricardo Duplos,hotosm/openaerialmap,1,1432735245,1432735245,0,False
Pete Gadomski,hotosm/openaerialmap,10,1747918796,1754926338,81,False
Julia Signell,stac-utils/pystac-client,19,1681915703,1758545218,0,False
Matthew Hanson,stac-utils/pystac-client,339,1617420548,1650341067,0,False
Henry Rodman,stac-utils/pystac-client,1,1728998645,1728998645,0,False
Wei Ji,stac-utils/pystac-client,1,1663414900,1663414900,0,False
Chuck Daniels,stac-utils/pystac-client,2,1695241897,1695762480,6,False
Pete Gadomski,stac-utils/pystac-client,164,1618344622,1753978301,1569,False
Matthias Mohr,stac-utils/pystac,5,1654625637,1690920119,0,False
Julia Signell,stac-utils/pystac,96,1673540508,1758207932,0,False
Kyle Barron,stac-utils/pystac,7,1610151341,1613761072,41,False
Matthew Hanson,stac-utils/pystac,29,1615498658,1617036064,0,False
Alex I. Mandel,stac-utils/pystac,1,1686229285,1686229285,0,False
Tarashish Mishra,stac-utils/pystac,1,1651275347,1651275347,0,False
Emmanuel Mathot,stac-utils/pystac,19,1606728206,1623073161,189,False
Chuck Daniels,stac-utils/pystac,3,1695762411,1695991821,2,False
Pete Gadomski,stac-utils/pystac,213,1615497591,1769529885,1782,True
Vincent Sarago,stac-utils/pystac,2,1628972729,1689184958,696,False
David Bitner,stac-utils/pgstac,112,1617043026,1770744836,1778,True
Kyle Barron,stac-utils/pgstac,2,1714395441,1714402605,0,False
xıʃǝɟ,stac-utils/pgstac,3,1757444908,1765290578,90,True
Henry Rodman,stac-utils/pgstac,14,1717518594,1769120086,597,True
Zac Deziel,stac-utils/pgstac,3,1695240580,1715606689,235,False
Emmanuel Mathot,stac-utils/pgstac,2,1743084623,1746544592,40,False
Anthony Lukach,stac-utils/pgstac,2,1658154589,1765220056,1239,True
Pete Gadomski,stac-utils/pgstac,4,1675715256,1740152237,745,False
Vincent Sarago,stac-utils/pgstac,16,1629211830,1728931564,1154,False
David Bitner,stac-utils/rustac,1,1764020708,1764020708,0,True
Kyle Barron,stac-utils/rustac,1,1745265722,1745265722,0,False
Henry Rodman,stac-utils/rustac,2,1763493312,1763567205,0,False
Pete Gadomski,stac-utils/rustac,1013,1635861187,1770916865,1563,True
Matthias Mohr,stac-utils/stac-fastapi,3,1659235417,1712847211,0,False
Daniel Wiesmann,stac-utils/stac-fastapi,2,1641522863,1657726810,187,False
David Bitner,stac-utils/stac-fastapi,15,1614708814,1668698135,624,False
Kyle Barron,stac-utils/stac-fastapi,1,1611974060,1611974060,0,False
Jeff Albrecht,stac-utils/stac-fastapi,105,1592367245,1714119127,0,False
Anthony Lukach,stac-utils/stac-fastapi,7,1644958397,1768250890,1426,True
Pete Gadomski,stac-utils/stac-fastapi,29,1668699025,1694007382,292,False
Vincent Sarago,stac-utils/stac-fastapi,140,1597193820,1770737692,2008,True
Matthias Mohr,stac-utils/stac-fastapi-pgstac,1,1722523738,1722523738,0,False
Daniel Wiesmann,stac-utils/stac-fastapi-pgstac,2,1641522863,1657726810,187,False
David Bitner,stac-utils/stac-fastapi-pgstac,16,1614708814,1753284283,1603,False
Kyle Barron,stac-utils/stac-fastapi-pgstac,1,1611974060,1611974060,0,False
Jeff Albrecht,stac-utils/stac-fastapi-pgstac,43,1592367245,1677535995,0,False
xıʃǝɟ,stac-utils/stac-fastapi-pgstac,1,1762946193,1762946193,0,False
Henry Rodman,stac-utils/stac-fastapi-pgstac,6,1727879036,1769175942,477,True
Anthony Lukach,stac-utils/stac-fastapi-pgstac,9,1644958397,1764690687,1385,True
Pete Gadomski,stac-utils/stac-fastapi-pgstac,40,1668699025,1763641648,1098,False
Vincent Sarago,stac-utils/stac-fastapi-pgstac,98,1612750031,1770723914,1828,True
Max Jones,developmentseed/titiler-cmr,1,1724171469,1724171469,0,False
Henry Rodman,developmentseed/titiler-cmr,42,1728919558,1770238748,478,True
Chuck Daniels,developmentseed/titiler-cmr,24,1765399326,1770675445,61,True
Isayah Vidito,developmentseed/titiler-cmr,2,1764026104,1764032487,0,True
Vincent Sarago,developmentseed/titiler-cmr,67,1705495578,1711118618,65,False
Aimee Barciauskas,developmentseed/titiler-cmr,207,1705427308,1770999745,758,True
xıʃǝɟ,developmentseed/stac-auth-proxy,11,1732809717,1769529040,424,True
Anthony Lukach,developmentseed/stac-auth-proxy,234,1732818735,1770861158,440,True
Sanjay Bhangar,developmentseed/stac-auth-proxy,1,1744962679,1744962679,0,False
Pete Gadomski,developmentseed/stac-auth-proxy,1,1753389655,1753389655,0,False
Wille Marcel,developmentseed/osm-teams,10,1673873332,1683295837,109,False
Marc Farra,developmentseed/osm-teams,443,1540844888,1686351134,1684,False
Vitor George,developmentseed/osm-teams,355,1644947594,1674746983,344,False
Lane Goodman,developmentseed/osm-teams,230,1678973957,1686256611,84,False
Alice Rühl,developmentseed/openeo-studio,133,1763451155,1770984577,87,True
Daniel da Silva,developmentseed/openeo-studio,14,1762949825,1768403620,63,True
Emmanuel Mathot,developmentseed/openeo-studio,19,1765798729,1771257342,63,True
Jonas Sølvsteen,developmentseed/openeo-studio,4,1770107108,1771343143,14,True
Kyle Barron,developmentseed/geotiff-test-data,20,1769139485,1771020757,21,True
Pete Gadomski,developmentseed/geotiff-test-data,2,1770135754,1770310451,2,True
Max Jones,developmentseed/obspec-utils,55,1750448940,1770998265,237,True
Will Rynearson,developmentseed/eo-predictor,46,1753360194,1770725923,200,True
Gjore Milevski,developmentseed/eo-predictor,1,1768989042,1768989042,0,True
Pete Gadomski,developmentseed/eo-predictor,3,1756285618,1769704890,155,True
Zac Deziel,developmentseed/openeo-udp,3,1768998307,1769626048,7,True
Emmanuel Mathot,developmentseed/openeo-udp,3,1765539066,1770156721,53,True
Olaf Veerman,developmentseed/openeo-udp,2,1763389980,1763390232,0,False
Wille Marcel,developmentseed/moz-proenergia-backend,64,1764711026,1771275371,75,True
Sanjay Bhangar,developmentseed/moz-proenergia-backend,91,1765441644,1771397262,68,True
Wille Marcel,developmentseed/titiler,2,1640100830,1754493008,1323,False
Max Jones,developmentseed/titiler,5,1730214364,1761817321,365,False
David Bitner,developmentseed/titiler,1,1594682332,1594682332,0,False
Kyle Barron,developmentseed/titiler,20,1598965080,1713476135,1325,False
Jeff Albrecht,developmentseed/titiler,4,1595980986,1608449143,0,False
Kiri,developmentseed/titiler,2,1732290788,1732291109,0,False
Sean Harkins,developmentseed/titiler,1,1646333885,1646333885,0,False
Henry Rodman,developmentseed/titiler,10,1727097138,1761238622,395,False
Emmanuel Mathot,developmentseed/titiler,7,1610679501,1678367960,783,False
Jonas,developmentseed/titiler,1,1744103621,1744103621,0,False
Pete Gadomski,developmentseed/titiler,1,1709715032,1709715032,0,False
Vincent Sarago,developmentseed/titiler,715,1575568964,1770973276,2261,True
Ciaran Sweet,developmentseed/titiler,2,1731576828,1770916173,455,True
Aimee Barciauskas,developmentseed/titiler,10,1618696757,1763539400,1676,False
Daniel Wiesmann,developmentseed/rio-stac,1,1756306256,1756306256,0,False
Henry Rodman,developmentseed/rio-stac,2,1683132742,1683133093,0,False
Vincent Sarago,developmentseed/rio-stac,159,1588959271,1762934435,2013,False
Sajjad Anwar,developmentseed/osm-seed,53,1530022102,1645176311,0,False
Olaf Veerman,developmentseed/osm-seed,2,1529608142,1539094662,0,False
Sanjay Bhangar,developmentseed/osm-seed,130,1525431369,1708093916,0,False
Wille Marcel,developmentseed/lonboard,2,1714083457,1730901566,194,False
Chris Holden,developmentseed/lonboard,1,1738778383,1738778383,0,False
Kyle Barron,developmentseed/lonboard,421,1693518811,1770849248,895,True
Emma Paz,developmentseed/lonboard,4,1704982856,1708978921,46,False
Vitor George,developmentseed/lonboard,15,1697555970,1765456518,785,True
Vincent Sarago,developmentseed/lonboard,1,1697573619,1697573619,0,False
Aimee Barciauskas,developmentseed/lonboard,5,1695751913,1700690513,57,False
Sandra Hoang,developmentseed/stac-map,3,1761841788,1768237122,74,True
Indraneel Purohit,developmentseed/stac-map,2,1751365865,1755192240,44,False
Will Rynearson,developmentseed/stac-map,1,1751283312,1751283312,0,False
Tarashish Mishra,developmentseed/stac-map,1,1751284878,1751284878,0,False
Pete Gadomski,developmentseed/stac-map,267,1750270234,1770386191,232,True
David Bitner,developmentseed/cql2-rs,55,1721053190,1758051270,428,False
Kyle Barron,developmentseed/cql2-rs,4,1721753493,1721755471,0,False
Zac Deziel,developmentseed/cql2-rs,1,1741802915,1741802915,0,False
Anthony Lukach,developmentseed/cql2-rs,10,1740075456,1763135494,266,False
Pete Gadomski,developmentseed/cql2-rs,97,1721837058,1770235533,560,True
xıʃǝɟ,developmentseed/eoapi-k8s,99,1730387754,1771322017,473,True
Tarashish Mishra,developmentseed/eoapi-k8s,8,1690216150,1763074531,843,False
Emmanuel Mathot,developmentseed/eoapi-k8s,26,1744211651,1765365371,244,True
